 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
"(g) Rates apply to individuals earning more than $92,300 (tax year 2025). A separate tax tables exist for individuals earning $92,300 or less, with rates of 2 percent on income greater than or equal to $5,500; 3 percent on income greater than or equal to $10,900; 3.4 percent on income greater than or equal to $15,600; and 3.9 percent on income greater than $25,700 but less than or equal to $92,300 (tax year 2025). ",,,,,,,,,,,,,,,,,,,
(h) Standard deduction or personal exemption is structured as a tax credit.,,,,,,,,,,,,,,,,,,,
"(i) Connecticut and New York have ""tax benefit recapture,"" by which many high-income taxpayers pay their top tax rate on all income, not just on amounts above the benefit threshold.",,,,,,,,,,,,,,,,,,,
"(j) Bracket levels adjusted for inflation each year. Inflation-adjusted bracket widths for 2026 were not available as of publication, so table reflects 2025 inflation-adjusted bracket widths.",,,,,,,,,,,,,,,,,,,
"(k) Exemption credits phase out for single taxpayers by $6 for each $2,500 of federal AGI above $252,203 and for MFJ filers by $12 for each $2,500 of federal AGI above $504,411 (tax year 2025). The credit cannot be reduced to below zero.",,,,,,,,,,,,,,,,,,,
"(l) Rates include the additional mental health services tax at the rate of 1 percent on taxable income in excess of $1 million. Rates exclude a payroll tax of 1.3 percent to fund the state’s disability insurance program. Effective as of TY 2024, there is no wage ceiling for this payroll tax, which means that the state’s top individual income tax rate on wage income becomes 14.6 percent.",,,,,,,,,,,,,,,,,,,
"(m) State provides a state-defined personal exemption amount for each exemption available and/or deductible under the Internal Revenue Code. The Tax Cuts and Jobs Act set the personal exemption to $0 until 2026 but did not eliminate it, and the One Big Beautiful Bill Act permanently set the personal exemption to $0 but did not eliminate it. Because it is still available, these state-defined personal exemptions remain available in some states but are set to $0 in other states.",,,,,,,,,,,,,,,,,,,
"(n) Standard deduction and/or personal exemption adjusted annually for inflation, but the 2026 inflation adjustment was not available at time of publication, so table reflects actual 2025 amount(s).",,,,,,,,,,,,,,,,,,,
"(o) Colorado, Idaho, Iowa, Montana, New Mexico, North Dakota, and South Carolina include the federal standard deduction in their income starting point.",,,,,,,,,,,,,,,,,,,
"(p) Connecticut has a complex set of phaseout provisions. For each single taxpayer whose Connecticut AGI exceeds $56,500, the amount of the taxpayer's Connecticut taxable income to which the 2 percent tax rate applies shall be reduced by $1,000 for each $5,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds said amount. Any such amount will have a tax rate of 4.5 percent instead of 2 percent. Each single taxpayer whose Connecticut AGI exceeds $105,000 shall pay an amount equal to $25 for each $5,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds $105,000, up to a maximum payment of $250. Additionally, each single taxpayer whose Connecticut AGI exceeds $200,000 shall pay an amount equal to $90 for each $5,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds $200,000 but is less than $500,000, and by an additional $50 for each $5,000, or fraction thereof, by which the taxpayer’s AGI exceeds $500,000, up to a maximum payment of $3,150. For each MFJ taxpayer whose Connecticut AGI exceeds $100,500, the amount of the taxpayer's Connecticut taxable income to which the 2 percent tax rate applies shall be reduced by $2,000 for each $5,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds said amount. Any such amount of Connecticut taxable income to which, as provided in the preceding sentence, the 2 percent tax rate does not apply shall be an amount to which the 4.5 percent tax rate shall apply. Each MFJ filer whose Connecticut AGI exceeds $210,000 shall pay an amount equal to $50 for each $10,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds $210,000, up to a maximum payment of $500. Additionally, each MFJ taxpayer whose Connecticut AGI exceeds $400,000 shall pay, in addition to the amount above, an amount equal to $180 for each $10,000, or fraction thereof, by which the taxpayer's Connecticut AGI exceeds $400,000, up to a maximum of $5,400, and a further $100 for each $10,000, or fraction thereof, by which Connecticut AGI exceeds $1 million, up to a combined maximum payment of $6,300.",,,,,,,,,,,,,,,,,,,
(q) Connecticut taxpayers are also given personal tax credits (1-75%) based upon adjusted gross income.,,,,,,,,,,,,,,,,,,,
"(r) Connecticut's personal exemption phases out by $1,000 for each $1,000, or fraction thereof, by which a single filer's Connecticut AGI exceeds $30,000 and a MFJ filer's Connecticut AGI exceeds $48,000.",,,,,,,,,,,,,,,,,,,
"(s) In addition to the individual income tax rates, Delaware imposes a tax on lump-sum distributions.",,,,,,,,,,,,,,,,,,,
"(t) Additionally, Hawaii allows any taxpayer, other than a corporation, acting as a business entity in more than one state and required by law to file a return, to report and pay a tax of 0.5 percent of its annual gross sales (1) where the taxpayer's only activities in Hawaii consist of sales, (2) when the taxpayer does not own or rent real estate or tangible personal property, and (3) when the taxpayer’s annual gross sales in or into Hawaii do not exceed $100,000. Haw. Rev. Stat. § 235-51 (2024).",,,,,,,,,,,,,,,,,,,
