 ,Single Filer,,,Married Filing Jointly,,,Standard Deduction,,Personal Exemption,,, , ,,,,,,
State,Rates,,Brackets,Rates,,Brackets,Single,Couple,Single,Couple,Dependent,,,,,,,,
Kans. ,5.20%,>,$0 ,5.20%,>,$0 ,"$3,605 ","$8,240 ","$9,160 ","$18,320 ","$2,320 ",,,,,,,,
"(a, m)",5.58%,>,"$23,000 ",5.58%,>,"$46,000 ", ,,,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Ky.,3.50%,>,$0 ,3.50%,>,$0 ,"$3,360 ","$3,360 ",n.a.,n.a.,n.a.,,,,,,,,
"(a, d, z)", ,,, ,,, ,,,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
La.,3.00%,>,$0 ,3.00%,>,$0 ,"$12,875 ","$25,750 ",n.a.,n.a.,n.a.,,,,,,,,
(d), ,,, ,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Maine,5.80%,>,$0 ,5.80%,>,$0 ,"$8,350 ","$16,700 ","$5,300 ","$10,600 ",$305 credit,,,,,,,,
"(u, y, bb, ll, vv, ww)",6.75%,>,"$27,399 ",6.75%,>,"$54,849 ", ,, ,,,,,,,,,,
,7.15%,>,"$64,849 ",7.15%,>,"$129,749 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Md.,2.00%,>,$0 ,2.00%,>,$0 ,"$3,350 ","$6,700 ","$3,200 ","$6,400 ","$3,200 ",,,,,,,,
"(a, m, x, vv, aa)",3.00%,>,"$1,000 ",3.00%,>,"$1,000 ", ,,,,,,,,,,,,
,4.00%,>,"$2,000 ",4.00%,>,"$2,000 ", ,, ,,,,,,,,,,
,4.75%,>,"$3,000 ",4.75%,>,"$3,000 ", ,, ,,,,,,,,,,
,5.00%,>,"$100,000 ",5.00%,>,"$150,000 ", ,, ,,,,,,,,,,
,5.25%,>,"$125,000 ",5.25%,>,"$175,000 ", ,, ,,,,,,,,,,
,5.50%,>,"$150,000 ",5.50%,>,"$225,000 ", ,, ,,,,,,,,,,
,5.75%,>,"$250,000 ",5.75%,>,"$300,000 ", ,, ,,,,,,,,,,
,6.25%,>,"$500,000 ",6.25%,>,"$600,000 ", ,, ,,,,,,,,,,
,6.50%,>,"$1,000,000 ",6.50%,>,"$1,200,000 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
"Mass. (j, rr)",5.00%,>,$0 ,5.00%,>,$0 ,n.a.,n.a.,"$4,400 ","$8,800 ","$1,000 ",,,,,,,,
,9.00%,>,"$1,083,150 ",9.00%,>,"$1,083,150 ", ,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Mich. (a, d)",4.25%,>,$0 ,4.25%,>,$0 ,n.a.,n.a.,"$5,900 ","$11,800 ","$5,900 ",,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Minn. ,5.35%,>,$0 ,5.35%,>,$0 ,"$15,300 ","$30,600 ",n.a.,n.a.,"$5,300 ",,,,,,,,
"(d, bb, cc, oo, vv)",6.80%,>,"$33,310 ",6.80%,>,"$48,700 ", ,, ,,,,,,,,,,
,7.85%,>,"$109,430 ",7.85%,>,"$193,480 ", ,, ,,,,,,,,,,
,9.85%,>,"$203,150 ",9.85%,>,"$337,930 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Miss.,4.00%,>,"$10,000 ",4.00%,>,"$10,000 ","$2,300 ","$4,600 ","$6,000 ","$12,000 ","$1,500 ",,,,,,,,
,,,,,,, ,, ,,,,,,,,,,
Mo.,2.00%,>,"$1,348 ",2.00%,>,"$1,348 ","$16,100 ","$32,200 ",n.a,n.a,n.a,,,,,,,,
"(a, b, m, u, bb)",2.50%,>,"$2,696 ",2.50%,>,"$2,696 ", ,,,,,,,,,,,,
,3.00%,>,"$4,044 ",3.00%,>,"$4,044 ", ,, ,, ,,,,,,,,
,3.50%,>,"$5,392 ",3.50%,>,"$5,392 ", ,, ,, ,,,,,,,,
,4.00%,>,"$6,740 ",4.00%,>,"$6,740 ", ,, ,, ,,,,,,,,
,4.50%,>,"$8,088 ",4.50%,>,"$8,088 ", ,, ,, ,,,,,,,,
,4.70%,>,"$9,436 ",4.70%,>,"$9,436 ", ,, ,, ,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mont.,4.70%,>,$0 ,4.70%,>,$0 ,"$16,100 ","$32,200 ",n.a,n.a,n.a,,,,,,,,
"(o, u, bb)",5.65%,>,"$47,500 ",5.65%,>,"$95,000 ", ,,,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Nebr.,2.46%,>,$0 ,2.46%,>,$0 ,"$8,850 ","$17,700 ",$176 credit,$352 credit,$176 credit,,,,,,,,
"(d, h, m, bb)",3.51%,>,"$4,130 ",3.51%,>,"$8,250 ", ,,,,,,,,,,,,
,4.55%,>,"$24,760 ",4.55%,>,"$49,530 ", ,, ,,,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
Nev.,none,,,none,,,n.a.,n.a.,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
N.H.,none,,,none,,,n.a,n.a,n.a.,n.a.,n.a.,,,,,,,,
, ,,, ,,, ,, ,,,,,,,,,,
